Name,Description,Website,Theme,Focus-Area,Opportunity-Space,Founded,Headcount,Country,Location,Funded,Funding-Date,Funding-Stage,Total-Funding,Maturity,Inc.-Compass,Hero
Fabwelt,"Online gaming and NFT collectibles platform for individuals. The platform aims to attract gamers and artists to produce in-game NFT technology, as strategic utilities, and also create DeFI - staking and in-game token farming.",https://www.fabwelt.com/,Support Services​,Expertise & Community,(8) Connecting people with shared interests and expertise,2021,0,Germany,Europe,Yes,"Monday, 15 November 2021",Seed,995,Nascent,TRUE,FALSE
Argo,The app-based platform for NFT short films and documentaries. It allows filmmakers and fans to discover short films and mini-series. It shares all revenue with the filmmaker. The app is available for iOS and Android platforms.,https://watchargo.com,Support Services​,Expertise & Community,(8) Connecting people with shared interests and expertise,2020,0,United States,Global,Yes,"Friday, 1 April 2022",Seed,125,Nascent,TRUE,FALSE
ISKRA,"NFT-based trading platform for digital games. It enables users to buy and sell game assets. It offers a premier destination for players, developers, and investors to explore the thrill and opportunity of web3 gaming.",https://iskra.world,Support Services​,Expertise & Community,(8) Connecting people with shared interests and expertise,2021,0,Singapore,Global,Yes,"Wednesday, 6 April 2022",Seed,34.500.000,Nascent,TRUE,FALSE
Pidge,"Pidge is a provider of on-demand courier services. Its app allows businesses and individuals to book hyperlocal delivery services for personal requests, store items, e-commerce, and food. They can make online payments and have their items delivered to customer doors in tamper-proof boxes. Its app is available across both Android and iOS platforms. Its clients include Masala Monk and TAJ. It has been featured in Inc42 and The New Indian Express.",https://www.pidge.in/,Transport & Logistics ​,Logistics​,(13) Offering convenient local fulfilment and delivery,2019,60,India,Global,Yes,"Friday, 1 October 2021",Seed,"$1,526,428.00",Nascent,TRUE,FALSE
Pedal Me,"Online platform offering two-wheeler ride-hailing and delivery services. The platform enables users to find and book the ride by providing details like location, passenger details, and more. It offers features like live vehicle tracking, variant payment options, etc. Also, it offers on-demand delivery services to users.",https://pedalme.co.uk,Transport & Logistics ​,Logistics​,(13) Offering convenient local fulfilment and delivery,2017,0,United Kingdom,Europe,Yes,"Thursday, 29 April 2021",Seed,"$83,395.00",Nascent,TRUE,FALSE
Airmee,"Airmee is a provider of AI-based last-mile delivery management solutions. Its online platform integrates with online stores to offer same-day delivery services, routing, scheduling, demand prediction, analytics, and courier selection. It caters to retailers, logistics providers, and businesses with logistics flows.",https://airmee.com,Transport & Logistics ​,Logistics​,(13) Offering convenient local fulfilment and delivery,2016,0,Sweden,Europe,Yes,"Wednesday, 24 June 2020",Series A,"$9,572,450.00",Nascent,TRUE,FALSE
Packaly,Packaly is an online platform for businesses to avail crowdsourced on-demand delivery services in selected Dutch cities. The company partners with crowdsourced delivery agents and enables businesses/retailers to book on-demand hyperlocal delivery services for their customers. Offers APIs to integrate the platform with existing systems/webshops.,https://packaly.com,Transport & Logistics ​,Logistics​,(13) Offering convenient local fulfilment and delivery,2018,0,Netherlands,Europe,Yes,"Wednesday, 9 March 2022",Seed,"$2,781,678.00",Nascent,TRUE,FALSE
Dispatch,"Dispatch is an online delivery platform for businesses. Customers can create an order and track the delivery agent in real-time using the platform. They can also share the tracking link through the mobile application. After the package is delivered, the delivery agent collects the customer's signature on the application as proof of delivery.",https://www.dispatchit.com/,Transport & Logistics ​,Logistics​,(13) Offering convenient local fulfilment and delivery,2016,116,United States,Global,Yes,"Monday, 28 March 2022",Series C,"$71,694,792.00",Emerging,TRUE,FALSE
Weengs,"Weengs is an on demand service for shipping packages. Users need to send a snap of the object to be shipped. Weengs picks up the items, packs them, and sends them using one of its carrier partenrs. It also provides tracking option to its users.",http://weengs.co.uk,Transport & Logistics ​,Logistics​,(13) Offering convenient local fulfilment and delivery,2015,12,United Kingdom,Europe,Yes,"Thursday, 18 April 2019",Series A,"$11,196,350.00",Emerging,TRUE,FALSE
Academy of Robotics,Provider of AI-enabled autonomous delivery vehicles. The company is building the complete software stack as well as most of the control systems from scratch. It has developed an AI-powered network navigation infrastructure for commercial drones and also working on the development of autonomous atmospheric satellites.,https://academyofrobotics.co.uk,Transport & Logistics ​,Logistics​,(13) Offering convenient local fulfilment and delivery,2016,0,United Kingdom,Europe,Yes,"Thursday, 1 April 2021",Seed,"$37,605.00",Nascent,TRUE,FALSE
Gray Routes,"Gray Routes provides proprietary mobile app solutions and distribution technology that enable customers to automate and monitor distribution operations on-field. Also started on-demand last mile delivery services by on-boarding delivery boys on their platform. Its product GrayDrop provides GPS-based dynamic route mapping and helps companies to monitor the distribution of their products/services and delivery networks. Its product GoStocky helps retailers in inventory management. Its other product GrayFOS helps in driving the productivity of field sales team. The company caters to several sectors including FMCG, telecom, food services, e-commerce and logistics.",https://grayroutes.in,Transport & Logistics ​,Logistics​,(13) Offering convenient local fulfilment and delivery,2013,0,India,Global,Yes,"Tuesday, 26 November 2019",Seed,"$9,216.00",Emerging,TRUE,FALSE
VUF Bikes,"VUF Bikes is a developer of cargo electric bicycles. Its features include electric assist for the transport of light and heavy cargo, a tilting system, and three wheels. It also provides attachable cargo boxes with features like compartments, waterproof casing, ventilation, isothermal insulation, and multiple sizes. Its applications include food, parcel, and cargo deliveries, logistics, and transport refuse collection, tools transport, and park maintenance. Its clients include Saria, Indigo Group, and Le Petit Casino.",https://vufbikes.com/fr/,Transport & Logistics ​,Logistics​,(13) Offering convenient local fulfilment and delivery,2016,0,France,Europe,Yes,"Friday, 25 June 2021",Seed,"$1,193,170.00",Nascent,TRUE,FALSE
Mesh Korea,"MeshKorea provides an on-demand crowdsourced delivery network & software for businesses. The company owns and operates 'Vroong', an on-demand delivery platform where users looking to send any parcel can place a request for delivery. Partner delivery agents can accept such requests using an app on their mobile phones. Users can also track their parcel on a real-time basis. Operates under 3 divisions, 'Vroong Prime' - an on-demand delivery service, 'Vroong Urban Logistics' - an on-demand last-mile delivery platform and 'Vroong Fresh' - a cold-chain transportation service. Additionally, the company also offers 'Vroong TMS', a transport management solution to stores in order to enable dispatching, routing and order management.",https://meshkorea.net,Transport & Logistics ​,Logistics​,(13) Offering convenient local fulfilment and delivery,2013,0,South Korea,Global,Yes,"Friday, 27 July 2018",Series B,"$29,916,200.00",Emerging,TRUE,FALSE
Kin Shun Information Technology,"Zeek is a SaaS-based platform for booking hyperlocal delivery services. Through its app, users can book shipments and delivery of miscellaneous items like food, grocery, documents, store and e-commerce packages, furniture, courier services and personal pickup requests. It provides scheduled, on-demand, same-day, doorstep and crowdsourced deliveries. Its app is available across both Android and iOS platforms.",https://www.zeek.one/group/zh/markets,Transport & Logistics ​,Logistics​,(13) Offering convenient local fulfilment and delivery,2019,0,China,Global,Yes,"Thursday, 17 December 2020",Seed,"$15,000,000.00",Nascent,TRUE,FALSE
Vroom Delivery,"Vroom Delivery enables users to order alcoholic beverages from partnered liquor stores and restaurants using its online platform and mobile app. Users can search for venues based on location, browse venue offerings, and can place orders. Users can also place orders for food items and groceries. Allows restaurants and retail stores to list their business on the platform. Offers a web-based portal for venues to manage their orders in real-time.",https://www.vroomdelivery.com/,Transport & Logistics ​,Logistics​,(13) Offering convenient local fulfilment and delivery,2015,0,United States,Global,Yes,"Friday, 29 January 2021",Seed,"$16,000.00",Emerging,TRUE,FALSE
Robby Technologies,Manufacturer of an AI-enabled robot for last-mile delivery. It provides self-driving delivery vehicles. The firm envisions the product to provide point-to-point deliveries within a city which can be used for simple packages or food. It uses computer vision technology for navigation.,https://robby.io,Transport & Logistics ​,Logistics​,(13) Offering convenient local fulfilment and delivery,2015,0,United States,Global,Yes,"Tuesday, 23 August 2016",Seed,$0.00,Emerging,TRUE,FALSE
Trackin,"Ordering management and delivery tracking software. Provides a widget for online ordering from the site with a dashboard to manage orders from multiple channels, create a delivery zone, dispatch, and track delivery. Has a customer and driver-focused app where drivers can see the route, check in-outs, and instructions while the customers can track their orders in real-time.",https://gotrackin.com,Transport & Logistics ​,Logistics​,(13) Offering convenient local fulfilment and delivery,2014,0,United States,Global,Yes,"Thursday, 30 January 2020",Series A,"$4,585,021.00",Emerging,TRUE,FALSE
uParcel,"uParcel provides on-demand pick-up and delivery services within a city. Users have to take a photo of the item to be sent, a delivery guy picks the item, packs it up, and delivers it to the given address. Provides parcel tracking. Also provides delivery for local shops.",https://uparcel.sg,Transport & Logistics ​,Logistics​,(13) Offering convenient local fulfilment and delivery,2014,0,Singapore,Global,Yes,"Wednesday, 3 November 2021",Seed,"$1,483,310.00",Emerging,TRUE,FALSE
Karla,"Offers a delivery management platform. The company offers a platform for managing delivery operations. The platform also helps in connecting consumers, carriers, and orchestrating sustainable last-mile delivery services.",https://www.gokarla.io/,Transport & Logistics ​,Logistics​,(13) Offering convenient local fulfilment and delivery,2021,0,Germany,Europe,Yes,"Thursday, 24 February 2022",Seed,"$3,850,704.00",Nascent,TRUE,FALSE
Skipcart,"Skipcart is an online platform for on-demand hyperlocal delivery services, targeted at enterprises/businesses. Offers an API that can be used to integrate the client's website with the company's platform. Whenever a customer places an order on the website, the request is routed to the delivery agent, who picks-up the goods and delivers them to the desired end location.",https://www.skipcart.com/,Transport & Logistics ​,Logistics​,(13) Offering convenient local fulfilment and delivery,2014,0,United States,Global,Yes,"Wednesday, 6 January 2021",Series B,"$11,542,630.00",Emerging,TRUE,FALSE
Deliver.ee,"Deliver is a courier service that lets customers receive their online orders within 1 hour, or exactly when they want it on the same day. It also ties up with local stores to help them deliver their online orders within a single day and for the price of standard shipping. Vendors can add deliver.ee to their check-out, call their API, and offer their customers the perfect last mile experience.",https://www.deliver.ee/,Transport & Logistics ​,Logistics​,(13) Offering convenient local fulfilment and delivery,2013,0,France,Europe,Yes,"Monday, 15 April 2019",Seed,"$69,229.00",Emerging,TRUE,FALSE
You2You,"You2You is a mobile based platform that lets users send parcels to other individuals using crowd-sourced delivery services. Also offers delivery services for businesses. As of November 2016, the platform claims to have a 19K registered user base and 300 businesses , and delivered 13K parcels in 2016 (YTD). Operational in France and plans to expand operations to Belgium and Spain.",http://you2you.fr,Transport & Logistics ​,Logistics​,(13) Offering convenient local fulfilment and delivery,2015,0,France,Europe,Yes,"Friday, 4 November 2016",Seed,"$66,592.00",Emerging,TRUE,FALSE
Ponyzero,"PonyZero offers a zero carbon emission courier service. Based out of Turin, Italy, PonyZero has a network of certified carriers who use modified bicycles to deliver courier in different areas of the city. All the carrier equipment and accessories are branded as directed by the partner/customer. It uses a proprietary algorithm to create an efficient delivery path for the carriers.",http://ponyzero.com,Transport & Logistics ​,Logistics​,(13) Offering convenient local fulfilment and delivery,2013,0,Italy,Europe,Yes,"Friday, 20 March 2015",Seed,"$30,576.00",Emerging,TRUE,FALSE
FIUGE,App-based platform for booking door-to-door courier services. The company offers crowdsourced courier services for both businesses and customers. It offers same-day doorstep delivery services. The app is available on the Android & iOS platforms.,https://fiuge.com/en/frontpage/,Transport & Logistics ​,Logistics​,(13) Offering convenient local fulfilment and delivery,2019,0,Finland,Europe,Yes,"Tuesday, 15 September 2020",Seed,"$11,860.00",Nascent,TRUE,FALSE
Metrobi,"Metrobi offers software infrastructure for passenger information and fleet management systems to public transportation authorities. Company can deploy the services for their city or contractors can use the infrastructure to build services for their customers. Company claims to use machine learning algorithms to calculate real-time traffic and route information based on continuous GPS from all vehicles. AI algorithms generate directives for drivers to adjust timing, for dispatchers to dispatch vehicles to provide consistent distribution and allows control center to monitor the events that are unexpected. Also, provides white label journey planner apps for the city that riders can use to plan their trips on their phones or computers.",https://metrobi.com,Transport & Logistics ​,Logistics​,(13) Offering convenient local fulfilment and delivery,2015,26-100,Turkey,Europe,Yes,"Thursday, 5 August 2021",Seed,"$12,000.00",Emerging,TRUE,FALSE
Today Delivery,"Today Delivery is an online platform that offers same day parcel delivery services using crowd-sourced delivery fleet. Offers delivery service to individuals, restaurants, online retailers and corporate offices. Users can choose on-foot delivery or through vehicle. Claims to have over 3000 delivery professionals on the platform as of Nov 2015. Pricing starts at 220 rubles. Based out of Moscow.",http://todaydelivery.ru,Transport & Logistics ​,Logistics​,(13) Offering convenient local fulfilment and delivery,2015,26-100,Russia,Europe,Yes,"Monday, 16 November 2015",Seed,"$50,000.00",Emerging,TRUE,FALSE
TagBox,"TagBox is a provider of AI-based supply chain visibility solutions. Its features include management of compliance and quality, asset tracking, asset utilisation, theft detection, yard management, batch track and trace, real-time sensing of temperature, humidity, shock, light and energy parameters. It caters to the pharmaceutical, food and high-tech industries. Its clients include Faasos and TVS.",https://www.tagbox.co,Transport & Logistics ​,Logistics​,(13) Offering convenient local fulfilment and delivery,2016,26-100,India,Global,Yes,"Tuesday, 12 January 2021",Series A,"$4,518,506.00",Nascent,TRUE,FALSE
ReadySet Surgical,"Digital inventory and logistic management solution. The company has developed a cloud-based Inventory tracking solution. It has features for case coordination, real-time notifications, invoice reconciliation, and system reporting",https://readysetsurgical.com,Transport & Logistics ​,Logistics​,(13) Offering convenient local fulfilment and delivery,2014,0,United States,Global,Yes,"Wednesday, 18 March 2020",Series A,"$9,662,563.00",Emerging,TRUE,FALSE
Waybridge,"Offers a platform for managing & optimizing the supply chain. The platform checks for the raw material inefficiencies and creates purchase orders. It also helps to manage RFQ's and inquiries, conducts online negotiations for purchase optimization. The platform also enables real-time shipment tracking, trade analysis & traceability reporting.",https://waybridge.com,Transport & Logistics ​,Logistics​,(13) Offering convenient local fulfilment and delivery,2019,0,United States,Global,Yes,"Friday, 14 May 2021",Series B,"$40,000,000.00",Emerging,TRUE,FALSE
OTTO Motors,"Otto Motors, a division of Clearpath, has developed an autonomous AGV specifically for use in material transport in distribution center, a warehouse or a manufacturing facility. The robots can be controlled with a 'Dispatch App' built on Clearpath Operating System, which is a platform designed for quick deployment of delivery routes in the facility. The AGVs are designed to work with the onboard sensors itself and no additional hardware - such as beacons, magnetic tapes are required. The robots can even integrate with existing 3rd party ERP solutions to exchange data.",https://ottomotors.com,Transport & Logistics ​,Logistics​,(14) Storing goods for the over-consumed,2016,0,Canada,Global,Yes,"Monday, 1 June 2020",Series C,"$83,000,000.00",Emerging,TRUE,FALSE
Pickle Robot,Pickle Robot provides collaborative package handling robots. It automate several key tasks along the e-commerce supply chain. Its chief offering Drill is a robotic manipulator designed to work alongside humans for loading or unloading trucks and moving boxes onto and off pallets.,https://picklerobot.com,Transport & Logistics ​,Logistics​,(14) Storing goods for the over-consumed,2018,0,United States,Global,Yes,"Thursday, 8 July 2021",Series A,"$26,891,993.00",Nascent,TRUE,FALSE
Youibot,"Youibot provides commercial service robots and robotic autonomous mobile solutions. It provides robotic autonomous mobile solutions based on laser radar SLAM and visual SLAM technology. It features capabilities like indoor autonomous map creation and navigation, speech recognition, face recognition, robot arm control, and robot system integration based on the ROS robot operating system. Products include an Autonomous mobile platform, a Welcome robot with a natural language interaction system and environment perception, and a Companion robot with a natural language interaction system and environment perception for personalized interactions. Professional self-inspection mobile robot provides tire inspection of urban buses for foreign metal body detection. Also, offers a development platform providing ROS robot operating system interface and packaged applications.",https://www.youibot.com,Transport & Logistics ​,Logistics​,(14) Storing goods for the over-consumed,2016,0,China,Global,Yes,"Monday, 27 December 2021",Series B,"$77,995,800.00",Emerging,TRUE,FALSE
Caja Robotics,"Caja Robotics is a provider of cloud-based warehouse automation robots. It offers two robots for inserting and arranging the goods in the warehouses, and for collecting operations respectively. Its robotic fulfillment solution for unit picking increases order picking and storage capacity of warehouses. They also offer solutions for warehouse management, warehouse material handling & storage solutions, and more. Its customers include Nike, Adidas, Levi’s, Diesel, Hugo Boss, and more.",https://cajarobotics.com,Transport & Logistics ​,Logistics​,(14) Storing goods for the over-consumed,2014,0,Israel,Global,Yes,"Monday, 30 November 2020",Series B,"$26,000,000.00",Emerging,TRUE,FALSE
Flowspace,"Flowspace provides on-demand warehousing to businesses through an online platform. Customers can view and book warehouse space as per their needs through the platform. They can also request a pickup of inventory from the platform after which it is picked up, received, and stored at the warehouse. Customers can choose to book on the basis of space or the number of pallets. It also offers additional services such as shrink wrapping, kitting, labeling, and B2B and B2C deliveries. As of Aug 2017, it claims to have warehouse locations in Los Angeles, Ontario, Oakland, Pennsylvania, and Chicago.",https://flow.space,Transport & Logistics ​,Logistics​,(14) Storing goods for the over-consumed,2016,0,United States,Global,Yes,"Monday, 15 March 2021",Series B,"$45,320,000.00",Emerging,TRUE,FALSE
Edgistify,"Provider of warehousing operations and fulfillment services. It offers D2C brands, SME's, E-commerce companies a tech-enabled one-stop platform for multiple logistics requirements. Besides, it is also involved in providing storage solutions, weighing services, warehouse infrastructure services, automation, IT, packaging solutions for logistics, in-house operations for warehouses, and many more.",https://edgistify.com,Transport & Logistics ​,Logistics​,(14) Storing goods for the over-consumed,2016,68,India,Global,Yes,"Thursday, 12 August 2021",Seed,"$87,940.00",Nascent,TRUE,FALSE
HAI ROBOTICS,"Provider of AI-based storage automation solutions for warehouses. The company offers an AI-enabled warehouse autonomous case and material handling system. Offers software for warehouse management and robots management, powered workstations, and different types of picking robots and workstations.",https://www.hairobotics.com/en/,Transport & Logistics ​,Logistics​,(14) Storing goods for the over-consumed,2016,0,China,Global,Yes,"Tuesday, 21 September 2021",Series D,"$215,318,300.00",Mature,TRUE,FALSE
Janio,"Janio provides end-to-end logistics delivery solutions. The company provides solutions for customs clearance, cross-border shipping, and last-mile delivery. It provides services like creating shipping labels automatically, delivered duty paid arrangements, real-time end-to-end tracking, and automated price processing.",https://janio.asia,Transport & Logistics ​,Logistics​,(15) Moving the many goods across the world,2018,1-25,Singapore,Global,Yes,"Thursday, 8 July 2021",Series A,"$8,000,000.00",Nascent,TRUE,FALSE
DASH Systems,"DASH Systems provides cargo delivery services using proprietary disposable delivery drones. The delivery drones can be mounted to any commercial aircraft and uses GPS & small fins to land within a few meters of a destination. The company claims that the drone can be used to deliver up to 20 kilograms of food, medicine or other essential supplies to people in areas that traditional shipping and delivery companies cannot reach. In addition, the company provides GPS enabled mission planning software for performing airdrop operations. The platform can be integrated with multiple mapping solutions to provide satellite, hybrid or street maps and comes with a drag and drop interface to plan out the airdrop mission.",https://www.dashshipping.com/,Transport & Logistics ​,Logistics​,(15) Moving the many goods across the world,2016,0,United States,Global,Yes,"Wednesday, 16 December 2020",Seed,"$12,480,000.00",Nascent,TRUE,FALSE
GoShare,GoShare provides crowdsourced last-mile shipping services. It creates a network of truck owners who provide intra-city shipping services. Anybody with a shipping requirement can request a pickup truck using the website or the free mobile app. Customers get instant quotes about the service requested. Both the user and the truck owners can rate each other to ensure quality service.,https://goshare.co,Transport & Logistics ​,Logistics​,(15) Moving the many goods across the world,2014,0,United States,Global,Yes,"Tuesday, 26 October 2021",Seed,"$11,319,221.00",Emerging,TRUE,FALSE
Parcellab,"Parcel labs connect online merchants with their customers for various industries including fashion retailers, consumer electronics dealers, furniture dealers, rands, and products. It provides shipping analysis, shipping messages, and an ROI calculator. It offers products like shipping news, track & trace, logistics dashboard, and prices. The company offers real-time analysis of deliveries and proactive communication to stakeholders via email and SMS. Uses big data for intelligent packet monitoring and automates different support channels such as SMS, e-mail, and Facebook. Customers include Astro Shop, reBuy.de, Electronic-Star, Eyeglass24, Garden Leisure, Runmarkt, heute-wohnen.de, Kapten Son, Berlet, and 11teamsports.",https://parcellab.com,Transport & Logistics ​,Logistics​,(15) Moving the many goods across the world,2014,0,Germany,Europe,Yes,"Tuesday, 11 May 2021",Series C,"$112,000,000.00",Emerging,TRUE,FALSE
TechEagle,TechEagle is a provider of on-demand drone delivery using high payload drones. The company's main product is a custom-made drone featuring a payload capacity ranging between one to ten kilograms and autonomous flights ranging between one to five hours.,https://www.techeagle.in/,Transport & Logistics ​,Logistics​,(15) Moving the many goods across the world,2015,0,India,Global,Yes,"Monday, 19 July 2021",Seed,"$50,000.00",Emerging,TRUE,FALSE
Hive,"Platform offering end-to-end logistics solutions for eCommerce brands. It offers product storage & inventory management, picking & packing products, last-mile carrier delivery, fulfillment center, and more. It also provides real-time data based on historical data and forecasts on the dashboard. The company offers solutions on the subscription-based policy.",https://www.hive.app/,Transport & Logistics ​,Logistics​,(15) Moving the many goods across the world,2020,0,Germany,Europe,Yes,"Thursday, 11 November 2021",Series A,"$44,000,000.00",Nascent,TRUE,FALSE
Dropshop Network,Dropshop Network is a provider of cloud-based fulfillment services. They provide paperless warehousing operations. Their solution helps in managing real-time operations where the user can keep track of each and every metric of the sales and supply chain.,https://dropshop.network,Transport & Logistics ​,Logistics​,(15) Moving the many goods across the world,2019,30,India,Global,Yes,"Friday, 30 April 2021",Seed,"$2,111,056.00",Nascent,TRUE,FALSE
QuickShift,"Platform offering end-to-end fulfillment solutions for e-commerce businesses. The platform helps with the storage, distribution, and fulfillment across retail, wholesale, and e-commerce channels. It offers integrated functions QuickShift dashboard that tracks all functions including managing supplier invoices, uploading product images onto the partner channels, tracking inventory levels, warehousing & order fulfillment, packing, last-mile delivery, and more.",https://quickshift.in,Transport & Logistics ​,Logistics​,(15) Moving the many goods across the world,2015,53,India,Global,Yes,"Tuesday, 27 July 2021",Seed,"$77,000.00",Emerging,TRUE,FALSE
Selery Fulfillment,"Selery Fulfillment provides personalized logistics and fulfillment solutions to brands and online retailers. It offers features including storage, packaging, shipping, warehousing, returns & inventory management, and more. The company charges the businesses on a per-use basis and incurs charges for storage.",https://www.seleryfulfillment.com,Transport & Logistics ​,Logistics​,(15) Moving the many goods across the world,2014,0,United States,Global,Yes,"Friday, 7 May 2021",Series A,"$3,945,009.00",Emerging,TRUE,FALSE
Shipit.to,"Shipit.to provides a web-based tracking service for businesses. It provides real-time tracking of shipments in transit and relays data like current position, estimated delivery times, itinerary, and attachments. It also offers cargo monitoring solutions.",https://www.shipit.to/,Transport & Logistics ​,Logistics​,(15) Moving the many goods across the world,2015,0,Israel,Global,Yes,"Wednesday, 21 April 2021",Seed,"$1,100,000.00",Emerging,TRUE,FALSE
Hitchhiker,"Hitchhiker is an online platform for crowdsourced shipping, on a peer-to-peer basis. The platform connects shippers with crowdsourced international travelers, traveling in the same way. The platform also enables shippers to communicate with travelers, to on decide on further proceedings. Its mobile app is available for iOS and Android devices. Earns revenue by charging shippers a fixed rate.",https://hitchhiker.io,Transport & Logistics ​,Logistics​,(15) Moving the many goods across the world,2016,0,South Africa,Global,Yes,"Tuesday, 16 October 2018",Seed,"$20,000.00",Nascent,TRUE,FALSE
Scale Labs,"Scale Labs is a service provider for e-commerce businesses to enable cross-border sales. The company provides catalog management, creative content creation and management, supply chain solutions, multi-channel order fulfillment, shipping and last-mile delivery, e-commerce product development services, consulting, and strategy services. The company provides services to integrate e-commerce sites with global marketplaces such as Amazon, eBay, Jet, Etsy, etc as well as with local marketplaces including Flipkart, Jabong, Paytm, Snapdeal, Voonik, etc. Other integration partners include Vinculum Solutions, DHL, FedEx, PayPal, etc.",http://thescalelabs.com,Transport & Logistics ​,Logistics​,(15) Moving the many goods across the world,2016,0,India,Global,Yes,"Tuesday, 8 May 2018",Seed,"$98,775.00",Nascent,TRUE,FALSE
Optiyol Decision Analytics,"Optiyol Decision Analytics provides products and services from shipment optimization, route optimization, to marketing optimization, sales, and revenue management. Products include - Intercity Transportation Optimization, shipment optimization, route planning, collection and Distribution Optimization - allocation of orders to each vehicle, and their sequence, Field Service Personnel Routing - assignment of customer requests to technicians, and scheduling customer visits. Services include supply chain optimization, marketing optimization, sales channel optimization, price and revenue management.",https://www.optiyol.com/,Transport & Logistics ​,Logistics​,(15) Moving the many goods across the world,2014,0,Turkey,Europe,Yes,"Wednesday, 2 June 2021",Seed,"$1,100,000.00",Emerging,TRUE,FALSE
Chain.io,"Provider of cloud-based EDI solutions to the logistics industry. Product offerings include a solution to store supply chain data, provide integration solutions for external systems via APIs/EDI. It also provides solutions for tracking and automating agent bookings.",https://chain.io,Transport & Logistics ​,Logistics​,(15) Moving the many goods across the world,2017,0,United States,Global,Yes,"Friday, 16 April 2021",Series A,"$5,000,000.00",Nascent,TRUE,FALSE
Oxyzo,"Online marketplace for business credit lines. It offers lines of credit without collaterals. The users must add the required information and check for eligibility, once evaluated and approved the funds are transferred to the registered bank account.",https://mojkredit.me/me,Finance,Financing,(5) Easing cash flow financing for businesses,2016,0,India,Global,Yes,"Wednesday, 23 March 2022",Series A,200.000.000,Nascent,TRUE,FALSE
Portcast,"Portcast is an AI & web-based analytics platform for cargo arrival times. The platform provides AI-enabled predictive analytics on cargo demand, cargo rates, and arrival times based on real-time external constraints (like weather, fuel prices, etc). Additionally, the platform provides real-time risk alerts and scenario planning solutions.",https://portcast.io,Transport & Logistics ​,Logistics​,(15) Moving the many goods across the world,2017,0,Singapore,Global,Yes,"Monday, 6 September 2021",Seed,"$3,200,000.00",Nascent,TRUE,FALSE
Edgistify,"Provider of warehousing operations and fulfillment services. It offers D2C brands, SME's, E-commerce companies a tech-enabled one-stop platform for multiple logistics requirements. Besides, it is also involved in providing storage solutions, weighing services, warehouse infrastructure services, automation, IT, packaging solutions for logistics, in-house operations for warehouses, and many more.",https://edgistify.com,Transport & Logistics ​,Logistics​,(15) Moving the many goods across the world,2016,68,India,Global,Yes,"Thursday, 12 August 2021",Seed,"$87,940.00",Nascent,TRUE,FALSE
ParkourSC,"Provider of web-based supply chain visibility track & trace solutions. The company offers solutions for managing supply chain persistence & risk. It offers asset tracking, inventory tracking, and logistics tracking solutions. It captures inventory level insights, locations, and synchronized assets to manage transparency across the supply chain.",https://www.parkoursc.com/,Transport & Logistics ​,Logistics​,(15) Moving the many goods across the world,2014,0,United States,Global,Yes,"Thursday, 3 March 2022",Series C,"$65,000,000.00",Emerging,TRUE,FALSE
Syook,"Provider of AI-powered location tracking systems. It helps to locate different assets like people, trucks, MHE’s, or even hospital equipment and provide real-time visibility on a digital layout of users' facilities. It is an AI-powered enterprise IIoT platform, provides actionable insights that enable data-driven decisions to supercharge productivity. It can be used in oil and gas, healthcare, and warehouse. It provides asset management, people management, and visitor management modules.",https://www.syook.com/,Transport & Logistics ​,Logistics​,(15) Moving the many goods across the world,2016,0,India,Global,Yes,"Tuesday, 24 August 2021",Series A,"$2,212,903.00",Nascent,TRUE,FALSE
Basic Home Loan,"Online lending platform for home loans. It is an automated platform for secured lending focusing on home loans, affordable housing segment, and home equity loans. Its tech-enabled platform matches customers with the right lender as per the requirements and the team of loan counselors offer assistance from documentation to disbursement.",http://dpmmfi.com,Finance​,Financing,(7) Joining the growth journey of the many,2020,0,India,Global,Yes,"Monday, 4 October 2021",Series A,4.000.000,Nascent,TRUE,FALSE
CredRight,"Online marketplace for consumer and business loans. It offers loans such as personal loans, working capital. equipment financing, term loans, and more. Users can register via personal documents and mobile numbers. Loan amount depends on the credit scores and financial statements.",https://gss.org.np,Finance​,Financing,(5) Easing cash flow financing for businesses,2016,0,India,Global,Yes,"Thursday, 23 September 2021",Seed,5.656.420,Nascent,TRUE,FALSE
Cacheflow,"Cloud-based point of sale financing solution. It offers a solution that enables merchants to provide a buy now pay later option enabling the end customers to purchase products and pay in monthly installments. It features automated billing, customizable payment option for customers, and more.",https://novissimicrofinance.com/,Finance​,Financing,(5) Easing cash flow financing for businesses,2021,0,United States,Global,Yes,"Wednesday, 10 November 2021",Seed,6.000.000,Nascent,TRUE,FALSE
DLT,"Dlt provides blockchain-enabled supply chain management apps for enterprises. Offers SmartCon, which provides smart contract-enabled cross-border transactions and can be used to digitize and automate the execution of bills of lading, letters of credit, invoices, and POs. The company offers SmartCode, which enables businesses to deliver assurance about products' authenticity and provenance. Also offers an inventory management & trading app called SmartFin and SmartAcces for the management of trading information.",https://dlt.sg,Transport & Logistics ​,Logistics​,(15) Moving the many goods across the world,2017,1-25,Singapore,Global,Yes,"Thursday, 25 March 2021",Series A,"$9,500,000.00",Nascent,TRUE,TRUE
